"","Albany NY","Albuquerque NM","Arlington VA","Atlanta GA","Austin TX","Baltimore MD","Baton Rouge LA","Beaverton OR","Bellevue WA","Berkeley CA","Birmingham AL","Boise ID","Boston MA","Buffalo NY","Cary NC","Charlotte NC","Chicago IL","Cleveland OH","Colorado Springs CO","Columbia SC","Columbus OH","Dallas TX","Dayton OH","Denver CO","Des Moines IA","Durham NC","Eugene OR","Fort Worth TX","Fresno CA","Gainesville FL","Grand Rapids MI","Greensboro NC","Greenville SC","Houston TX","Indianapolis IN","Irvine CA","Irving TX","Jackson MS","Jacksonville FL","Kansas City MO","Knoxville TN","Las Vegas NV","Lexington KY","Lincoln NE","Little Rock AR","Los Angeles CA","Lubbock TX","Madison WI","Memphis TN","Mesa AZ","Miami FL","Milwaukee WI","Nashville TN","New Orleans LA","New York NY","Newark NJ","Norfolk VA","Oakland CA","Oklahoma City OK","Omaha NE","Orlando FL","Philadelphia PA","Phoenix AZ","Pittsburgh PA","Plano TX","Portland OR","Providence RI","Raleigh NC","Reno NV","Reston VA","Richmond VA","Rochester NY","Roswell GA","Sacramento CA","Saint Louis MO","Saint Paul MN","Salt Lake City UT","San Antonio TX","San Diego CA","San Francisco CA","San Jose CA","Santa Clara CA","Scottsdale AZ","Seattle WA","Somerville MA","Spokane WA","Springfield MO","State College PA","Sunnyvale CA","Tampa FL","Tempe AZ","Tucson AZ","Tulsa OK","WASHINGTON DC","Wichita KS"
"Knoxville TN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3166.659,274.235,1492.641,847.823,3513.059,1910.959,1113.589,629.214,2899.387,1408.183,1031.932,289.177,963.694,1135.916,1121.05,849.55,3980.18,1379.704,1483.404,1047.808,1005.743,2921.28,793.722,1358.068,4073.146,1426.138,579.864,3741.54,762.229,700.711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Las Vegas NV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3109.98,1982.385,2332.57,433.53,1433.877,2746.118,2539.23,504.322,4061.082,2879.435,2879.236,2768.72,4062.571,4045.945,4013.98,900.652,1791.18,2062.125,3700.708,3982.04,477.763,3533.095,1956.063,1574.839,4348.277,3744.293,721.392,3926.659,3865.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lexington KY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1254.069,898.727,3477.566,1899.69,843.005,680.118,2863.893,1676.583,761.348,342.051,1198.192,1133.367,1118.501,940.081,3842.849,1344.21,1244.832,1316.209,1028.336,2885.787,598.57,1408.971,3834.573,1423.589,794.493,3502.967,852.76,791.241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lincoln NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,990.075,2410.136,1152.469,772.112,1036.699,1984.728,2664.042,905.429,1202.577,1672.891,2088.565,2071.939,2177.406,2590.968,702.686,88.119,2303.668,2038.97,2006.621,1559.089,1022.465,2582.692,2374.271,2031.819,2251.086,1944.312,2028.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Little Rock AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2679.219,1068.782,1133.586,220.934,2065.547,1846.604,1195.914,560.94,687.567,1982.049,1967.184,1695.684,3146.34,545.864,981.872,1486.23,1851.876,2087.44,1459.998,515.891,3561.097,2272.272,1425.997,3053.021,1608.363,1546.845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Los Angeles CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1780.537,3176.699,2885.89,625.657,4395.175,3310.016,3225.896,3045.444,4466.646,4476.526,4360.64,599.669,2137.84,2492.706,4034.801,4362.787,599.098,3906.267,2343.171,1549.637,4778.858,4090.953,830.645,4273.319,4211.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lubbock TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1901.077,1211.085,1166.023,2661.555,1957.091,1551.091,1369.194,2886.374,2871.509,2724.309,2246.817,559.851,1234.437,2301.181,2782.515,1187.917,2325.995,532.271,2701.667,3176.597,2467.663,2153.498,2598.514,2536.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madison WI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1033.049,2702.65,2461.885,126.671,1000.419,1665.842,1505.771,1489.145,1658.164,3360.673,1349.906,694.085,2101.51,1456.176,2724.543,976.296,1561.625,3212.244,1791.478,1542.188,3020.791,1361.518,1518.989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Memphis TN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2270.618,1629.108,1003.101,341.085,635.741,1762.194,1747.328,1475.828,3351.412,750.935,1027.513,1268.734,1632.021,2292.511,1240.142,729.299,3617.255,2052.416,1206.142,3258.092,1388.507,1326.989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesa AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3796.957,2923.467,2612.001,2447.226,3852.75,3837.885,3746.744,1223.616,1523.944,2067.853,3436.583,3748.891,31.053,3292.371,1744.952,2173.583,4142.973,3477.058,1224.413,3659.423,3597.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
